run_id=20260817T043257Z
start_utc=2026-08-17T04:32:57Z
interval_seconds=300
end_epoch=1787200377
----
2026-08-17T04:32:57Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=fetch failed
2026-08-17T07:18:48Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:23:49Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:28:51Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:33:52Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:38:54Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:43:55Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:48:57Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:53:58Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:59:00Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:04:02Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:09:03Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:14:05Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:19:06Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:24:08Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:47:00Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T08:52:02Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
